DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,,ANNUAL,JF,MAM,JJAS,OND
PALWAL,1928,17.8,34.7,10,0,0,0,82.4,44.8,0.8,41.9,6.4,18.6,257.4,52.5,10,128,66.9
PALWAL,1929,4.9,0,0,9.1,5.8,36.5,157.2,86.3,25.1,5.8,0,13.7,344.4,4.9,14.9,305.1,19.5
PALWAL,1930,12.7,28.9,0.8,0,4.9,29.4,367.5,136.5,4.3,6.9,0,5.1,597,41.6,5.7,537.7,12
PALWAL,1931,0,13.8,6.1,0,27.6,8.9,232.9,54.1,218.7,72.1,0,0,634.2,13.8,33.7,514.6,72.1
PALWAL,1932,0,0.8,20.1,12.7,4.6,12.4,61.3,123.8,87.8,0,0,1.8,325.3,0.8,37.4,285.3,1.8
PALWAL,1933,0,22.6,1.1,37.6,84.9,254.5,128.8,236.6,326.9,80,4.3,0,1177.3,22.6,123.6,946.8,84.3
PALWAL,1934,18.8,0,60.2,0,0,21.6,118.9,259.3,25.2,0,0,2.3,506.3,18.8,60.2,425,2.3
PALWAL,1935,22.1,17.5,1.3,31.3,0,6.4,277.5,62.9,138.5,7.6,0,12.9,578,39.6,32.6,485.3,20.5
PALWAL,1936,5.1,19.7,25.9,0,0,136.3,146.8,198.9,143.4,0,17.3,7.1,700.5,24.8,25.9,625.4,24.4
PALWAL,1937,0,3.6,0.8,2,42.9,34.8,107.8,24.9,46,0,0,7.6,270.4,3.6,45.7,213.5,7.6
PALWAL,1938,29,0,0,0,2,64.3,175.7,69.6,15.7,23.3,0,0,379.6,29,2,325.3,23.3
PALWAL,1939,4.6,33.7,7.9,0,0,122.1,43.5,20.8,193.3,2.5,0,0,428.4,38.3,7.9,379.7,2.5
PALWAL,1940,38.6,34,14.4,0,0,12.5,135.7,275,30,0,0,0.5,540.7,72.6,14.4,453.2,0.5
PALWAL,1941,34.8,0,6.1,0,5.3,40.4,10.9,158,86.7,0,0,4.6,346.8,34.8,11.4,296,4.6
PALWAL,1942,1.8,49.8,0,0,8.6,60.2,312.7,140.8,195.4,0,0,11.6,780.9,51.6,8.6,709.1,11.6
PALWAL,1943,7.6,0,0.8,3.3,7.4,11.7,151.8,122.5,90.7,0,0,0,395.8,7.6,11.5,376.7,0
PALWAL,1944,43.6,54.2,77.9,66.6,,40.7,191.1,105.9,,36.1,0,0,,97.8,,,36.1
PALWAL,1945,24,0,0,1.3,21.6,56.9,84.3,87.9,212.5,0,0,0,488.5,24,22.9,441.6,0
PALWAL,1946,0,6.1,0,0,40.2,96.9,191.5,123.8,95.5,18.3,0,1.1,573.4,6.1,40.2,507.7,19.4
PALWAL,1947,7.9,9.9,18.8,0,0,5.6,,230.2,209.9,26.4,0,6.4,,17.8,18.8,,32.8
PALWAL,1948,38.9,22.6,15.4,0,20.1,3.8,162.7,192.7,124.5,17.8,7.4,0,605.9,61.5,35.5,483.7,25.2
PALWAL,1949,0,4.1,0,1.5,1,5.1,566.1,133.4,106.7,0,0,0,817.9,4.1,2.5,811.3,0
PALWAL,1950,4.3,1.5,1.5,0,0,16,109.2,184.6,126.8,0,0,0,443.9,5.8,1.5,436.6,0
PALWAL,1951,6.4,0,54.8,17,0,25.4,27.7,118.1,129.5,0,28.8,0,407.7,6.4,71.8,300.7,28.8
PALWAL,1952,4,13,3.3,7.6,0,9.7,96.2,210.1,0,0,0,14,357.9,17,10.9,316,14
PALWAL,1953,52.6,0,0,1.8,3.3,28.2,302.8,104.6,19.9,11.9,0,0,525.1,52.6,5.1,455.5,11.9
PALWAL,1954,15,62.3,2.8,0,2.5,24.2,160.7,63,118.4,196.4,0,0,645.3,77.3,5.3,366.3,196.4
PALWAL,1955,13.8,0,0,0,5.3,64.5,322.3,231.5,180.5,93.2,0,0,911.1,13.8,5.3,798.8,93.2
PALWAL,1956,15.3,3.8,6.4,0,0,29,113.9,148.1,127.5,179,0,0,623,19.1,6.4,418.5,179
PALWAL,1957,42,0,21.8,0,0,16.7,240.3,86.4,255.9,0,15.2,12.9,691.2,42,21.8,599.3,28.1
PALWAL,1958,0,0,3.1,7.9,0,11.5,324.7,277.5,336.2,6.3,0,0,967.2,0,11,949.9,6.3
PALWAL,1959,0,0,0,0,13,23.4,77.7,161.2,173.4,12.2,10.6,0,471.5,0,13,435.7,22.8
PALWAL,1960,0,0,52.6,0,0,0,154,308.6,16.6,62,0,0,593.8,0,52.6,479.2,62
PALWAL,1961,6.6,13,0,0,6.8,48,153.6,388.8,45.3,20.4,0,7,689.5,19.6,6.8,635.7,27.4
PALWAL,1962,69.4,8.2,4,0,0,41,276.2,41.4,70.6,0,0,28.4,539.2,77.6,4,429.2,28.4
PALWAL,1963,0,6,0,0,15.8,64.2,22.8,291.1,225.7,0,0,0,625.6,6,15.8,603.8,0
PALWAL,1964,0,0,0,0,6.4,0,270.5,240.3,181.4,0,0,5.1,703.7,0,6.4,692.2,5.1
PALWAL,1965,0,0,0,0,0,0,,251,140.3,0,0,,,0,0,,
PALWAL,1966,,,,,,,,,,,,,,,,,
PALWAL,1967,,,,,,,,,,,,,,,,,
PALWAL,1968,24.4,13.4,0,0,0,,294.6,141.8,0,0,0,0,,37.8,0,,0
PALWAL,1969,0,3.6,0,1.6,22.6,15.6,152.3,150.2,339.8,0,0,0,685.7,3.6,24.2,657.9,0
PALWAL,1970,8.2,54.6,6.2,0,,116.7,52.4,181.2,92.8,0,0,0,,62.8,,443.1,0
PALWAL,1971,,,0,0,,57.2,253.4,,121.2,19.4,2.4,0,,,,,21.8
PALWAL,1972,18.4,15,0,18.2,0,0,227.1,149.2,51.6,19.2,20.2,0,518.9,33.4,18.2,427.9,39.4
PALWAL,1973,18,3,7.2,0,10,6.6,261,195.2,31.2,17.2,0,,,21,17.2,494,
PALWAL,1974,0,0,0,0,6.8,31.3,242.4,140.2,35,42.8,0,4,502.5,0,6.8,448.9,46.8
PALWAL,1975,11.4,0,,,,,162.2,221.9,233.4,39.8,,0,,11.4,,,
PALWAL,1976,0,32.8,3,2.6,29,78.2,149.9,343.6,35.6,0,0,0,674.7,32.8,34.6,607.3,0
PALWAL,1977,22.2,0,0,0,15.6,85.7,508.2,27.2,98.2,0,0,0,757.1,22.2,15.6,719.3,0
PALWAL,1978,0,16,42,2,0,44.5,262.1,240,124.6,,0,0,,16,44,671.2,
PALWAL,1979,9.5,33,,,,75.8,151.7,49.1,36.8,9,0,15,,42.5,,313.4,24
PALWAL,1980,0,3.2,31.4,0,3.6,34.6,314,113.6,70.2,19.2,1.5,6.5,597.8,3.2,35,532.4,27.2
PALWAL,1981,16.9,9.8,3.8,0,9.6,212.6,246.2,40.2,57.4,0,25.8,0.5,622.8,26.7,13.4,556.4,26.3
PALWAL,1982,7.2,25.5,85.3,52.6,49.1,37,100,279.1,31,4.3,0,15.6,686.7,32.7,187,447.1,19.9
PALWAL,1983,17.2,4.4,2.2,34.4,43.2,61,275.4,248.8,141,5,0,3.4,836,21.6,79.8,726.2,8.4
PALWAL,1984,14.2,0,0,0,0,57,171.4,132,124,0,0,0,498.6,14.2,0,484.4,0
PALWAL,1985,,,,,,,,,,,,,,,,,
PALWAL,1986,,,,,,,,,,,,,,,,,
PALWAL,1987,,,,,,,,,,,,,,,,,
PALWAL,1988,,,,,,,,,,,,,,,,,
PALWAL,1989,,,,,,,,,,,,,,,,,
PALWAL,1990,,,,,,,,,,0,21,0,,,,,21
PALWAL,1991,0,19,3,5,0,14.6,47,273.5,91,0,25,6,484.1,19,8,426.1,31
PALWAL,1992,27,6,0,0,26,0,157,165,31,45,0,0,457,33,26,353,45
PALWAL,1993,0,18,0,8,5,104,167,45,155,0,0,0,502,18,13,471,0
PALWAL,1994,0,0,0,13,9,0,236,92,0,0,0,0,350,0,22,328,0
PALWAL,1995,38,13,0,0,0,8,30,549,87,0,0,0,725,51,0,674,0
PALWAL,1996,5,5,0,0,0,102,14,214,84,0,0,0,424,10,0,414,0
PALWAL,1997,1,0,0,18,16,32.8,27,201,44,41,9,26,415.8,1,34,304.8,76
PALWAL,1998,0,12,9,7,0,35,93,157,103,17,0,,,12,16,388,
PALWAL,1999,40,0,0,0,0,15,160.5,55,50.7,7,0,0,328.2,40,0,281.2,7
PALWAL,2000,3,34,0,0,47,32,170,138,12,0,0,0,436,37,47,352,0
PALWAL,2001,1.3,5,0,15.6,26,53.3,97.3,55.8,28.4,4.3,0,0,286.7,6.3,41.5,234.6,4.3
PALWAL,2002,17.3,11.3,0,0,38.5,1.3,18.3,67.8,187.5,0,0,12,353.8,28.5,38.5,274.8,12
PALWAL,2003,11,22.3,0.5,0,1.8,27.3,352.8,323,63,0,0,26.5,828,33.3,2.3,766,26.5
PALWAL,2004,16,0,0,18,13.5,24.8,6.3,303.1,0,126,0,0,507.6,16,31.5,334.1,126
PALWAL,2005,4.3,16.5,26,0,1,9,174.5,75.5,73.1,0,0,0,379.9,20.8,27,332.1,0
PALWAL,2006,0,0,29.5,0,14.8,20.5,83.5,18.5,22.5,0,0,,,0,44.3,145,
PALWAL,2007,0,61.8,37.3,0,4.8,63.3,142.6,197.8,35.5,0,0,0,542.9,61.8,42,439.1,0
PALWAL,2008,0,0,0.5,13.3,90.3,,181,149.7,127,,0,0,,0,104,,
PALWAL,2009,0,0,0,0,,7.8,25.8,111.3,140.5,7,,,,0,,285.3,
PALWAL,2010,0,18,1.5,7,8.8,8,96.3,251.8,296,1.5,16.3,3.5,708.5,18,17.3,652,21.3
