STATE,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
HARYANA,1938,37.9,7.5,0.3,0.8,7.1,59.3,90.2,56,8.1,7.8,0.1,0,275.1,45.4,8.2,213.6,8
HARYANA,1939,2.3,38.4,19.9,0.5,0.2,88,62.8,32.9,63,1.1,0,0,309,40.7,20.5,246.6,1.1
HARYANA,1940,28.2,35.1,11.6,6.6,1.6,37.1,115.1,144,13.5,0.3,0,0.3,393.4,63.3,19.8,309.7,0.5
HARYANA,1941,57.1,4.5,2.4,0,15.7,95.7,41.9,93.7,45.7,3.9,0,3.4,363.9,61.6,18,276.9,7.3
HARYANA,1942,24.7,48.1,2.2,11.8,7.5,49.1,255.8,240.3,155.8,0.3,0,12.5,808.1,72.8,21.5,701,12.8
HARYANA,1943,19.3,2.1,2.4,13.9,8.2,27,127.9,112.1,88.8,0,0,0.1,402,21.5,24.5,355.9,0.1
HARYANA,1944,21.2,33.2,35.7,27.4,0.6,51.5,138.5,100.1,37.9,23.6,0.6,0.6,471,54.5,63.7,328,24.8
HARYANA,1945,40.1,0,2.4,5.9,8.2,35.6,123.1,117.6,311,4.8,0,0,648.7,40.1,16.5,587.3,4.8
HARYANA,1946,0.1,9.9,1.7,3.4,27.4,69.8,120,157.7,20.5,15.2,1,11.6,438.3,10,32.5,368.1,27.8
HARYANA,1947,16.8,15.8,7.4,0.6,2.9,13.4,22.3,86.1,282.5,4.7,0,6.4,458.9,32.7,10.9,404.2,11.1
HARYANA,1948,33.6,30.8,18.8,0.9,5.3,16.1,211.6,233.7,35,4.4,1.4,0.4,592.1,64.4,25.1,496.4,6.2
HARYANA,1949,3.4,27.8,0.6,1.4,6.2,10.6,281.2,61.1,84,1.1,0,2.1,479.4,31.2,8.2,436.9,3.1
HARYANA,1950,22.5,6.5,18,0.5,5.6,9,210.4,149.8,117.9,0,0,1.4,541.6,28.9,24.2,487,1.4
HARYANA,1951,8.1,0.5,33.9,11.9,9.1,18.2,52.4,136.5,36.4,0.2,26.8,0,334,8.5,54.9,243.6,27
HARYANA,1952,8,16.7,11.5,2.9,9.9,63.4,126.2,298.8,1.2,0,0,4,542.6,24.6,24.3,489.6,4
HARYANA,1953,39.7,1.5,0,4.1,6,56,244.5,149.3,47.9,1.2,0,6.3,556.4,41.2,10.1,497.7,7.5
HARYANA,1954,25.2,88.7,10.5,0.4,3.6,26.9,150.9,47.7,133.2,50.6,0.3,0,537.9,113.9,14.5,358.7,50.9
HARYANA,1955,33.2,2,7.2,7.6,12.8,63.3,106.4,176.9,160.4,131.8,2.9,0.6,705.1,35.2,27.6,507,135.3
HARYANA,1956,16.8,3.1,25,0.8,2.2,50.8,231.5,161.2,21.6,132.3,4.9,0.6,650.7,19.9,28,465.1,137.7
HARYANA,1957,52.6,0.2,26.7,2.7,6.8,23.1,190.7,102.9,146.1,24.2,7.9,23.2,607.1,52.8,36.2,462.7,55.3
HARYANA,1958,4,0.7,4.9,2,4,16.6,150.8,186.8,275.4,21.2,1,10.2,677.9,4.7,11,629.7,32.4
HARYANA,1959,26.5,7.9,3.7,0.4,12.7,26.2,107.1,168.5,106.7,16.2,18.9,0.1,494.9,34.4,16.8,408.5,35.2
HARYANA,1960,10.7,0,24.7,3.9,1.2,32.4,247.5,339.3,15.4,35.1,0,9.2,719.5,10.7,29.8,634.6,44.3
HARYANA,1961,39.9,29.4,0.4,4.8,10.2,46.3,152.7,252.6,51.4,26.3,6.3,9.1,629.3,69.2,15.4,503,41.7
HARYANA,1962,20,9.9,7.3,1.4,1.3,15,149.2,105.5,191.1,0,2.8,7.3,510.9,30,10,460.8,10.1
HARYANA,1963,2.6,4.2,4.3,1.9,4.3,40.6,56.2,309.2,87.3,0,8.3,5.4,524.3,6.8,10.5,493.2,13.7
HARYANA,1964,4.6,1.5,0.9,0.4,14.4,8.5,371.8,193.2,115.5,0.6,0.1,5.6,717,6,15.6,689,6.4
HARYANA,1965,5.7,11.2,7.3,8.4,20,2.1,121.2,133,60,9.9,0.1,0.2,379.1,16.9,35.7,316.3,10.2
HARYANA,1966,3.1,34.6,6,1.5,42.2,125,98.1,315.7,70.1,6.3,0.9,0.1,703.7,37.7,49.7,609,7.3
HARYANA,1967,0,2,43.5,0.9,13.7,32.8,223.6,320.6,90.1,7,14.1,69.3,817.6,2,58.1,667.1,90.4
HARYANA,1968,13.5,15.6,16.9,0,2.1,29.8,216.5,91.3,0,6.9,0,1.9,394.5,29.1,19,337.7,8.7
HARYANA,1969,1.4,6.5,9.1,3.2,21,11,127.2,134.8,166.2,0.2,0.5,0,480.9,7.8,33.2,439.1,0.7
HARYANA,1970,35,35.8,9,0,10.6,66.9,63.9,206,102.7,1.1,0,0,531,70.8,19.6,439.5,1.1
HARYANA,1971,16.4,18.6,1,7.4,58,60.6,150.9,248.6,49.5,12.6,1.8,0,625.4,35,66.4,509.6,14.4
HARYANA,1972,7.3,11.7,5.7,12.1,0.2,24.4,132.3,178.7,13.3,8.1,32.8,3.1,429.6,19,18,348.7,44
HARYANA,1973,15,4.8,3.3,0.5,32.6,73.7,120,186.1,55.2,18.1,0,8.8,517.9,19.8,36.4,434.9,26.8
HARYANA,1974,0.5,1.2,1.5,1.1,4.3,37.5,197.1,95.2,14.3,16.5,0,13.3,382.6,1.8,6.9,344.2,29.8
HARYANA,1975,19.5,2.8,8.9,0.3,5.6,56.8,179.7,177,133.5,17.7,0,0,601.9,22.3,14.8,547,17.7
HARYANA,1976,9.1,22.4,6.4,2.5,32.6,81.3,216.9,313.5,37.5,0.2,0.1,0.7,723.3,31.5,41.5,649.2,1.1
HARYANA,1977,50.2,1.3,0.7,21.7,22.9,50.2,291.9,159.9,113.1,8.5,0.5,9.6,730.5,51.5,45.3,615.1,18.6
HARYANA,1978,0.2,24.6,53.2,3.5,1.3,68.8,203.6,177.3,103.8,2.1,2.7,0.4,641.4,24.8,57.9,553.5,5.1
HARYANA,1979,21.9,44.6,10.4,3.4,30.3,34.8,122.3,38.5,21.2,2.7,2.9,6.8,339.8,66.5,44.1,216.8,12.4
HARYANA,1980,5.6,2.3,21.9,0.3,8.6,47.4,240.9,103.5,50.2,14.9,4.9,21.4,521.8,7.9,30.8,441.9,41.2
HARYANA,1981,24.7,13.4,34.2,0.5,18,63.5,192,63.7,33.9,0.1,42.3,0.7,487.1,38.1,52.7,353.1,43.1
HARYANA,1982,20.8,20.4,71.2,31.8,57,30.1,94.1,154.4,5.5,3,2.3,14,504.8,41.2,160.1,284.1,19.4
HARYANA,1983,37,5.1,6.5,82.2,34.7,30.2,217.3,240.6,82.5,6.2,0,3.6,745.7,42,123.4,570.5,9.8
HARYANA,1984,2.4,14.4,0.4,2.6,0.5,50.2,158.6,180.5,72.8,0.9,0,0.3,483.6,16.8,3.6,462.1,1.1
HARYANA,1985,3.5,0.3,1.2,8.2,3,44.3,259.7,154.2,36,42.8,0,24.4,577.6,3.9,12.3,494.2,67.2
HARYANA,1986,7.2,31.2,12.8,3.3,35.8,85.4,92.9,108,52.5,11.1,0.7,9.3,450.3,38.4,52,338.8,21.2
HARYANA,1987,21,27.8,12.4,6.2,62.1,27.3,26.1,106.5,18.3,3.2,0,6.3,317.3,48.8,80.8,178.2,9.5
HARYANA,1988,1.6,13,34.2,3.6,3.4,80.8,287.4,221.1,183.9,0,0.1,11.9,841,14.5,41.2,773.2,12
HARYANA,1989,39.5,0.4,11.5,0.6,2.2,31.6,90.6,152.6,68.4,0.1,5.1,11.3,414,39.9,14.3,343.2,16.5
HARYANA,1990,0,79.2,5,1.8,18.6,24.7,206.7,142.6,192.9,2.7,14.2,19.5,707.9,79.2,25.4,566.9,36.4
HARYANA,1991,0.1,19.5,2.8,13.4,5.3,50,51,185.8,35.6,1.4,3.6,15.6,384.1,19.5,21.5,322.4,20.6
HARYANA,1992,20.3,16.3,0.5,1.2,8.7,16.8,125.8,170.9,56.9,4.7,6.5,0,428.6,36.6,10.4,370.4,11.2
HARYANA,1993,4.5,15.9,11.2,5.5,8.5,43.4,270.3,34.8,128.3,0,0,0,522.5,20.4,25.2,476.8,0
HARYANA,1994,19.3,11.3,0.6,7.6,8.2,48.5,270.7,160.3,27.8,0,0.1,0.2,554.6,30.6,16.4,507.3,0.3
HARYANA,1995,38.9,22.5,9.5,4.8,0.6,47.1,115.1,406.6,171.3,0.2,0.1,0.3,817.1,61.4,14.9,740.1,0.6
HARYANA,1996,15.9,29.9,11.5,0.6,4.5,107.1,84.2,244.1,115.8,19.4,0,0.3,633.4,45.8,16.6,551.3,19.7
HARYANA,1997,6.5,2.1,14.5,34.4,36.8,61.2,130.3,225.4,35.8,54.7,12.9,46.7,661.2,8.7,85.7,452.6,114.3
HARYANA,1998,0.5,24.6,26.1,9.4,6.2,68.1,155.4,162.2,151.5,77.9,5.8,0,687.6,25.1,41.7,537.1,83.7
HARYANA,1999,31.9,0.7,1.3,0,20.2,41.7,114.3,77,52.7,3.9,0,0.3,344,32.6,21.5,285.7,4.2
HARYANA,2000,16.8,30.1,1.3,1.5,24.5,59,147.3,84.8,16.8,0,0.4,1.2,383.7,46.9,27.4,307.9,1.6
HARYANA,2001,17.9,5.3,7.2,19.9,47.5,116.9,145.9,101.9,10,11.1,0,0.2,483.8,23.1,74.6,374.7,11.4
HARYANA,2002,11.5,31.3,9.1,1.1,51,20.6,19.4,77.5,121.7,1.9,0,8.7,353.9,42.8,61.3,239.2,10.6
HARYANA,2003,14.4,29.8,3.9,1.7,7.5,25.5,275.1,164.9,58.6,0,0.1,10.8,592.3,44.2,13.1,524.1,11
HARYANA,2004,25.5,0.3,0,18,40.3,52.6,19.5,252.2,22.4,52.5,0,1.3,484.6,25.8,58.3,346.7,53.7
HARYANA,2005,14.1,35.7,30,2.7,7.7,53.8,175,52,145.2,0,0.8,0,516.9,49.8,40.4,426,0.8
HARYANA,2006,2.4,0.1,30.4,0.6,24.6,45.2,135.3,31.6,48.9,3.8,1.1,5.3,329.3,2.4,55.6,261,10.3
HARYANA,2007,0.5,76.3,40,2,12,88.6,80.7,86.8,55.2,0.1,0.2,1.4,443.8,76.9,54.1,311.3,1.6
HARYANA,2008,2.2,0.4,0.6,13.4,72.1,196,125.2,174.5,116.5,8.9,5.6,0.2,715.6,2.6,86.1,612.3,14.7
HARYANA,2009,3.9,5.9,5.7,11.8,17.6,15.3,106.2,62.3,160.4,2.5,1,0.3,393,9.8,35,344.2,3.9
HARYANA,2010,4.8,10.2,0.4,0.8,5.9,29.3,189.3,197.7,183.3,1.2,3.4,13,639.2,15,7.1,599.6,17.6
