DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,,DEC,ANNUAL,JF,MAM,JJAS,OND
MEWAT,1925,0,0,0.3,0,13.2,138.7,242.6,76.7,3.9,7.3,15.6,0,498.2,0,13.5,461.8,22.9
MEWAT,1926,4.7,5.5,45.6,15,40.5,10.2,284.1,326.3,47.6,0.4,0.2,0,780,10.2,101.1,668.2,0.6
MEWAT,1927,0,15.1,3.4,2.9,19.8,4.6,156.2,389.8,35.8,0.8,0,11.9,640.3,15.1,26.2,586.4,12.7
MEWAT,1928,9.6,30.6,0,0.6,1.2,7.2,91.1,60.2,15.8,31.4,3.9,20.5,272,40.1,1.7,174.3,55.8
MEWAT,1929,2.8,1,0,8.8,5,16.9,120.4,70.5,22.5,2.7,0,5.2,255.8,3.7,13.8,230.4,7.9
MEWAT,1930,23.2,9.5,1.4,0.3,2.3,30.5,390.2,117.4,27.1,4,0,2.1,608,32.7,4,565.2,6
MEWAT,1931,0,4.4,5.6,0,7.7,5.7,213.5,86.4,99.9,47.4,0,0,470.7,4.4,13.4,405.5,47.4
MEWAT,1932,0,0,24.6,7.5,1.3,7.1,60.4,161.4,78.7,0,0,1.3,342.3,0,33.4,307.6,1.3
MEWAT,1933,0,15.2,0.1,9.3,80.1,235.9,47,205.1,296.3,46.1,0.9,0,936.1,15.2,89.5,784.4,47
MEWAT,1934,9.5,0,50,0.6,0,81.7,114.2,391.1,19.9,0,0,12.3,679.4,9.5,50.6,606.9,12.3
MEWAT,1935,16.5,11.4,1.6,32.8,0,13.7,139,181.7,94.4,2.7,0,14.6,508.6,28,34.5,428.8,17.4
MEWAT,1936,1.5,17.6,11.8,0.7,2.1,154.5,124.8,178.8,103.4,0,11.4,9.8,616.3,19.1,14.6,561.5,21.2
MEWAT,1937,0,17.9,0.8,0.8,7.4,37.4,149.2,40.7,69.7,0,0,2.2,326.1,17.9,9,297,2.2
MEWAT,1938,17.9,0,0,0,2.5,70.4,175.9,39.4,19.7,1.3,0,0,327.1,17.9,2.5,305.4,1.3
MEWAT,1939,3.6,24.5,3.8,0,1,68.4,56.2,43.2,234,3.9,0,0,438.5,28.1,4.8,401.8,3.9
MEWAT,1940,40.7,42.3,18.6,2.3,0.2,8.7,109.6,239.6,2.9,0,0,0,464.8,83,21.1,360.8,0
MEWAT,1941,27.2,0,0,0,5.6,57.5,35.9,87.2,117.2,1.4,0,4.4,336.4,27.2,5.6,297.9,5.8
MEWAT,1942,3.8,34.6,0,2.4,7.9,55.6,314.4,228.7,191.3,0,0,2.6,841.3,38.4,10.4,790,2.6
MEWAT,1943,7.6,0,1.1,12.5,2.3,49.5,129.7,161.4,132.4,0,0,0,496.5,7.6,15.9,473,0
MEWAT,1944,29,13.6,52.7,16,0,59.6,216.6,131.3,37.3,29.3,0,0,585.3,42.6,68.7,444.7,29.3
MEWAT,1945,21.8,0,0,1.5,24.2,66.8,113,122.3,166.9,0.7,0,0,517.2,21.8,25.7,468.9,0.7
MEWAT,1946,0,2,0,4.9,13.8,59,216.5,157.9,14.2,20.9,0,0.4,489.6,2,18.7,447.6,21.3
MEWAT,1947,12.2,9.9,4.8,0,0,17.4,,104.1,150.9,9,0,5.9,,22.1,4.8,,15
MEWAT,1948,53.4,17,13.8,0.1,0,8.4,266.5,356.4,67,9.9,1.2,0,793.6,70.4,13.9,698.3,11
MEWAT,1949,0.4,3.9,0.7,0,6.6,13.8,322.1,68,92.9,1.8,0,0,510.2,4.3,7.3,496.8,1.8
MEWAT,1950,8.6,0.9,12.9,0,0.6,6.4,193.2,104.6,77,0,0,0,404.3,9.5,13.6,381.3,0
MEWAT,1951,1.2,0,25.8,7.2,0,18.6,25.6,146.9,83.4,2.4,26.3,0,337.4,1.2,33,274.5,28.7
MEWAT,1952,1.5,13.9,3,4.4,0.6,50.9,138.9,321,0.5,0,0,0.6,535.3,15.5,7.9,511.4,0.6
MEWAT,1953,16.7,0.9,0,1.1,0,38.4,291,203.9,36.4,2.4,0,0,590.6,17.5,1.1,569.6,2.4
MEWAT,1954,26.3,71.6,0.8,0,0.2,9.6,185.7,45.3,87.5,166.3,0,0,593.3,97.9,1,328.1,166.3
MEWAT,1955,15.8,1.1,0,0,0.6,101.4,182.1,151.5,167.7,84.4,0,0,704.4,16.8,0.6,602.6,84.4
MEWAT,1956,13.8,0,29,0,3.2,12.1,143.4,68.3,74.3,168.7,3.8,0,516.7,13.8,32.2,298.2,172.5
MEWAT,1957,39.5,0,4.5,0,10.6,14.5,257,66.8,188.6,27.8,5.1,30.9,645.3,39.5,15.1,526.9,63.8
MEWAT,1958,0.8,0,0,0,0,5.9,280.7,246.9,197.4,42.1,0,0,773.8,0.8,0,731,42.1
MEWAT,1959,7.5,0,0.6,0,8.1,0,60.2,90.9,73.4,2.2,9.6,0,252.5,7.5,8.8,224.5,11.7
MEWAT,1960,6.8,0,13.2,0.5,4.1,8.8,107.4,370.3,9.1,47.5,0,0,567.8,6.8,17.8,495.7,47.5
MEWAT,1961,4.4,12.7,0,0,1,61.7,93.2,316.6,66.8,28.6,21.6,4.1,610.7,17.1,1,538.2,54.3
MEWAT,1962,21.4,4.3,2.5,2.8,0.8,21.1,117.2,148.1,126.8,0,0,22.7,467.8,25.7,6.2,413.2,22.7
MEWAT,1963,0,9.5,0,2,1,26.9,89.4,245.1,108.5,0,8.5,4.8,495.8,9.5,3.1,469.9,13.3
MEWAT,1964,0.3,0,1,0,14.3,7.2,448.5,291.1,117.6,0,0,6,885.9,0.3,15.3,864.3,6
MEWAT,1965,0.5,2.5,0,2.6,2.5,1,52.1,161.9,212.4,6.8,0,0,442.3,3,5.1,427.5,6.8
MEWAT,1966,,,,,,,,,,,,,,,,,
MEWAT,1967,,,,,,,,,,,,,,,,,
MEWAT,1968,18.4,4.5,0,0,0,6.3,182.5,52.1,0,12.6,0,0,276.5,23,0,240.9,12.6
MEWAT,1969,0,1.3,0,6.3,12.3,0,154.2,161.9,303.2,0,5.6,0,644.6,1.3,18.6,619.3,5.6
MEWAT,1970,24.8,57.8,11,0,18.3,68.5,101.7,242.8,113.3,2.1,0,0,640.2,82.6,29.2,526.3,2.1
MEWAT,1971,,,0,1.4,,59.8,169.1,,72.3,13,0,0,,,,,13
MEWAT,1972,14,5,0,19.2,0.2,11.8,121.6,254.7,18.6,18.1,25.5,0,488.8,19,19.4,406.8,43.6
MEWAT,1973,14.2,9.4,10.1,0,19.2,5.9,139.3,243.8,94.4,11.6,0,,,23.6,29.3,483.3,
MEWAT,1974,0,0,0.2,0,2.5,12.4,288.6,110.4,11.5,32.2,0,10,467.8,0,2.8,422.9,42.2
MEWAT,1975,4.1,0,,,,,150.3,262.8,257.6,7.4,0,0,,4.1,,,7.4
MEWAT,1976,0,27.1,0,3.4,40.7,73.9,162.2,269.7,15.3,0,0,0,592.3,27.1,44.1,521.1,0
MEWAT,1977,15,0,0.2,17.8,16.3,118.1,283.5,183.4,130.9,0,0,1.4,766.6,15,34.3,715.9,1.4
MEWAT,1978,0,11.7,36.7,3.6,0,48.7,263.7,332,210.2,,3.2,5.8,,11.7,40.3,854.7,
MEWAT,1979,7.2,25.4,,,,63.2,123.1,22.2,5.4,0.8,0.6,4.6,,32.6,,213.9,6
MEWAT,1980,0,0.2,21.6,0.6,6.6,45.8,229.9,128.9,64.3,3.7,0.8,6.3,508.7,0.2,28.8,468.9,10.8
MEWAT,1981,7.2,7.1,19.8,0,7.4,135,273.7,55.5,11.5,0,18.4,0,535.6,14.3,27.2,475.7,18.4
MEWAT,1982,9.9,20.3,28.2,20.1,60.1,6.7,110.3,245,25.2,1,12.4,11.3,550.5,30.2,108.4,387.2,24.7
MEWAT,1983,30.2,4.5,1.2,54.8,82.7,44.6,301.8,368.1,94.2,9.6,0,3.8,995.6,34.7,138.8,808.7,13.4
MEWAT,1984,2.6,0,0,0,0,14.2,162.8,232.2,135.8,0,0,0,547.7,2.6,0,545.1,0
MEWAT,1985,0,0,0.6,30,1.3,46.8,264.5,173,35,107.8,0,36.3,695,0,31.8,519.2,144
MEWAT,1986,11,14.8,2,0,37.9,41,86.4,79.1,41.8,27,0,3.7,344.6,25.8,39.8,248.3,30.7
MEWAT,1987,18.8,15,1.3,0,27,6,41.3,170.4,18.3,0,0,10.5,308.4,33.8,28.3,235.9,10.5
MEWAT,1988,1.6,8.8,21.3,2.8,4.3,100.2,180.3,201,27.5,0,0,5.3,553,10.4,28.3,509,5.3
MEWAT,1989,15.5,0,6.5,0,0,11.8,53.7,162.8,59.5,0,0,0,309.8,15.5,6.5,287.8,0
MEWAT,1990,0,59.3,0,2,21.5,21.8,158.6,149.6,112,0,10.2,0,534.9,59.3,23.5,441.9,10.2
MEWAT,1991,0,6.8,4.4,5.4,0,6.2,53,254.2,94.6,0,18.2,0.8,443.6,6.8,9.8,408,19
MEWAT,1992,14.5,6.8,3.2,0,1.9,18,82.4,193.6,59.1,3.8,3,0,386.3,21.3,5.1,353.1,6.8
MEWAT,1993,0,13.7,0,4.8,1.8,14.4,322.8,55.4,167.1,0,0,0,580,13.7,6.6,559.7,0
MEWAT,1994,20.6,0,0,10.4,16.6,27.8,306.4,114.4,2.6,0,0,0,498.8,20.6,27,451.2,0
MEWAT,1995,26.4,9.4,0,0,0,1.6,86.1,600.6,137.1,0,0,0,861.2,35.8,0,825.4,0
MEWAT,1996,1.6,0.6,0,0,15.8,313.5,111.9,406,198.3,0,0,0,1047.7,2.2,15.8,1029.7,0
MEWAT,1997,4.2,1.3,1.8,9.3,30.8,36,79.2,246.3,90.5,56.8,18.6,72.6,647.2,5.4,41.8,452,148
MEWAT,1998,0,10.2,15.8,0,0,17.6,171.4,182,140.5,17.6,1.2,,,10.2,15.8,511.5,
MEWAT,1999,7.4,0,11.4,0,4.4,66.4,116,54.7,159.2,27.8,0,0,447.3,7.4,15.8,396.3,27.8
MEWAT,2000,11,11.5,0.6,0,0.6,33.5,168.2,109,16.8,0,0,0,351.2,22.5,1.2,327.5,0
MEWAT,2001,9.8,2.5,0.5,9,73.3,107.3,130.7,183,11,2.5,0,0,529.5,12.3,82.8,431.9,2.5
MEWAT,2002,32.8,9.5,0,0,86,9.3,1.3,76.3,115,7,0,8.8,345.8,42.3,86,201.8,15.8
MEWAT,2003,18.7,31,0,0,0,5,363,388,62.8,0,0,30,898.4,49.7,0,818.8,30
MEWAT,2004,8,0,0,8.3,2,6.8,33.8,412,23.5,116.5,0,0,610.8,8,10.3,476,116.5
MEWAT,2005,0,17.8,10,0,0,59.3,0,0,52.5,0,0,0,139.5,17.8,10,111.8,0
MEWAT,2006,0,0,0,0,0,17.8,147,33.8,0,0,0,,,0,0,198.5,
MEWAT,2007,0,81.3,37.5,4.5,5,62,136.8,111,76.5,0,0,0,514.5,81.3,47,386.3,0
MEWAT,2008,0,0,0.5,0,102.5,,,,,,,0,,0,103,,
MEWAT,2009,0,0,1,1.8,,36.8,92,163.8,197.5,0,5.3,,,0,,490,
MEWAT,2010,0,9.8,0,0,1,11.5,172.8,300,359.5,0,0,2,856.6,9.8,1,843.8,2
