DISTRICT YEAR,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,,ANNUAL,JF,MAM,JJAS,OND
REWARI,1916,0,11.5,0,0.5,6.6,36.2,134.4,250.9,129.7,66.1,0,0,636,11.5,7.1,551.3,66.1
REWARI,1917,9.9,8.2,2.5,31.7,37.2,41.2,160.7,314,443.8,60.6,0,2.5,1112.1,18.1,71.3,959.7,63
REWARI,1918,7,0,3.7,1.4,0,10.7,15.4,76.5,15.6,0,0,0,130.4,7,5.1,118.3,0
REWARI,1919,48.7,0,12.6,0,5.9,14.7,144.7,112.6,107.3,0,5,32.2,483.6,48.7,18.5,379.2,37.2
REWARI,1920,6.3,5,23.3,0,21.1,55.1,284.2,12.4,2.2,0,0,0,409.6,11.3,44.4,353.8,0
REWARI,1921,6.6,0,0,0,0,33.9,35.5,116.9,38.4,1.6,0,2.7,235.6,6.6,0,224.7,4.3
REWARI,1922,4.2,0.4,0,0,0,103.7,66.2,87.3,140.3,1,0,25.6,428.7,4.6,0,397.5,26.6
REWARI,1923,10.5,10.8,0,0,8.2,25.1,162.5,149.3,19.4,0,0,14.8,400.6,21.3,8.2,356.3,14.8
REWARI,1924,24.8,3.4,0.2,0,2.6,42.8,63.8,252.2,201.7,38.4,0.8,22.5,653.1,28.2,2.8,560.5,61.7
REWARI,1925,0,0,0,0,7.7,109.4,215.1,148.6,3.4,4,2.6,0,490.9,0,7.7,476.5,6.6
REWARI,1926,1.7,14.5,31.4,14.8,3.5,15,148.9,286.7,74.4,1.3,2.6,0,594.7,16.1,49.7,525,3.9
REWARI,1927,0,33.4,8.1,1.5,26.2,4.7,75.7,141.8,48.5,4.8,0,7,351.7,33.4,35.9,270.6,11.8
REWARI,1928,6.2,,0,0,0.8,31.4,110.8,50.3,2.5,22.2,12.1,7.7,,,0.8,195.1,42
REWARI,1929,3.9,1,0,3.4,1.9,1.7,113.2,120.3,19.1,0,0,4.1,268.5,4.9,5.3,254.2,4.1
REWARI,1930,30,5.9,0,0,1.8,33.3,478.6,81.4,2.5,2.5,0,0,636,35.8,1.8,595.9,2.5
REWARI,1931,0,11.7,22.5,0,2,4.7,207.9,93.9,68.7,13,0,0.6,424.9,11.7,24.5,375.2,13.6
REWARI,1932,0,0.3,22.3,0.8,0.8,8.5,151.6,117.9,151.8,0,0,0,454.1,0.3,24,429.8,0
REWARI,1933,0.9,17,3.9,0.3,56.5,145.7,96.9,161.5,325.2,2.6,0,2.2,812.8,18,60.7,729.4,4.8
REWARI,1934,10.1,0,15.6,0,0,73,54.7,211.5,24.2,0,0,9.8,398.9,10.1,15.6,363.4,9.8
REWARI,1935,22.9,11.9,4.4,45.8,0,0.1,211.3,85.5,127.1,0.3,1.8,0.9,511.9,34.8,50.2,423.9,2.9
REWARI,1936,5,25.7,2.8,0,0.2,157.1,206.1,102.4,32,0.2,1.8,12.9,546.2,30.7,3,497.6,14.9
REWARI,1937,0,12.2,0.5,0.8,0,31.4,124.6,49.9,66.8,0,0.3,0,286.5,12.2,1.3,272.7,0.3
REWARI,1938,6.4,0,0,0,0,40.4,113.7,27.4,10.4,0,0,0,198.3,6.4,0,191.9,0
REWARI,1939,0.7,27,2,0,2,69.2,10.1,21.8,63.7,4.1,0,0,200.6,27.7,4,164.9,4.1
REWARI,1940,18.1,26.7,3.7,0,0,58.9,76.8,185.7,0,0,0,0,369.9,44.8,3.7,321.4,0
REWARI,1941,42.6,3.1,2.3,0,3.4,49.3,0,40.7,63.5,0,0,7.6,212.6,45.8,5.7,153.5,7.6
REWARI,1942,10.9,14.3,0,1.2,1.4,10.7,156.8,230.8,137.4,0,0,0.6,564.2,25.3,2.6,535.8,0.6
REWARI,1943,2.9,0,0,4.7,11,16.2,96.1,82.5,111,0,0,0,324.5,2.9,15.7,305.9,0
REWARI,1944,28.1,19.9,66.7,14.3,0,64.7,53.6,67.5,24.9,45.2,0,3.8,388.6,48,80.9,210.7,49
REWARI,1945,23.6,0,0,4.2,39.2,22.6,71.7,89.6,195,1.7,0,0,447.6,23.6,43.4,378.9,1.7
REWARI,1946,0,3.3,0,0,31.1,119.8,127.4,200.3,20.9,2.5,0,5.1,510.5,3.3,31.1,468.5,7.6
REWARI,1947,8.4,8.3,0,0,0.4,52.8,,78.5,118.9,28,0,9.1,,16.7,0.4,,37.2
REWARI,1948,83.7,35.6,20.2,0,0,4.1,314.8,157.6,9.3,12.7,0,0,638,119.2,20.2,485.9,12.7
REWARI,1949,0.8,1.2,0,0,0,5.1,234.7,36.7,117.5,0,0,0,396.1,2,0,394,0
REWARI,1950,5.6,0,18.2,0,1.3,4.2,185.6,63.7,93.8,0,0,0,372.4,5.6,19.5,347.3,0
REWARI,1951,10.3,0,25.7,6.3,0,14.4,18.2,131.5,22.4,0,20.3,0,249.2,10.3,32,186.5,20.3
REWARI,1952,0,21.6,0,0,8.9,62.7,58.9,331.5,5.1,0,0,0,488.6,21.6,8.9,458.1,0
REWARI,1953,4.1,0.5,0,0,0,26.5,219.1,196.8,28.7,0,0,1.9,477.6,4.6,0,471.2,1.9
REWARI,1954,19.5,63.5,2.2,0,0,28.1,123.2,10.9,55.2,46.4,0,0,349.1,83,2.2,217.4,46.4
REWARI,1955,3.8,0.4,0.4,1.1,2,73,80.3,90.2,141.9,80.1,0,0,473,4.1,3.5,385.4,80.1
REWARI,1956,4.8,0.3,16.1,0,0,2.4,310.1,149.1,0,66,20.7,0,569.4,5.1,16.1,461.6,86.7
REWARI,1957,42,0,24.3,0,21.1,29.2,271.7,72.7,168.6,34.1,0.8,28.3,692.8,42,45.4,542.3,63.2
REWARI,1958,0.3,5.1,3.4,0,7.5,27.2,193.9,108.6,173.2,60.1,1.3,0.8,581.5,5.4,10.9,503,62.2
REWARI,1959,23.1,0,0,0,5.1,1.8,71.8,186.4,50.4,19.5,0,0,358.1,23.1,5.1,310.4,19.5
REWARI,1960,1.5,0,10.8,0,0,5.3,204.6,475.9,0.5,41.3,0,0,739.8,1.5,10.8,686.3,41.3
REWARI,1961,2.8,12.5,0,0.8,0.8,10.8,81.4,229.5,34.5,6.5,18.3,0.7,398.4,15.3,1.5,356.3,25.4
REWARI,1962,3.3,10.5,0,13.7,1.3,10.8,73.1,99.3,41.6,0,0,5.5,258.9,13.8,14.9,224.8,5.5
REWARI,1963,0,5.8,0,2.4,17.7,37,40.7,340.9,77,0,3.3,7.1,531.8,5.8,20.1,495.5,10.4
REWARI,1964,0,0,0,0.6,5.6,5.4,307,178.1,94.1,0,0,6.1,597,0,6.3,584.6,6.1
REWARI,1965,2.4,2,0,4.5,3.8,0.5,123.9,180.9,112.5,4.8,0,0,435.3,4.4,8.3,417.9,4.8
REWARI,1966,,,,,,,,,,,,,,,,,
REWARI,1967,,,,,,,,,,,,,,,,,
REWARI,1968,21.1,0,6.1,0,0,7.8,228.3,82.3,0,3.7,0,0,349.3,21.1,6.1,318.4,3.7
REWARI,1969,0,0,1.5,0,13.7,6.1,114.2,152.5,194.4,0,5.3,0,487.8,0,15.2,467.3,5.3
REWARI,1970,8,50.2,10.5,0,9.9,54.5,44.7,139.1,115.6,0,0,0,432.3,58.2,20.4,353.8,0
REWARI,1971,,,0,0,,22.6,169.4,,45.8,30,0,0,,,,,30
REWARI,1972,10.8,1.5,0,0.6,0,7,70.4,246.7,19.4,1.8,18.1,0,376.1,12.3,0.6,343.5,19.9
REWARI,1973,22,5,1.8,0,31.5,4.5,104.3,223.4,110.4,0.6,0,,,27,33.3,442.6,
REWARI,1974,0,0,0,0,3.8,6.1,256.1,98.6,10.8,13.2,0,11.8,400.3,0,3.8,371.5,24.9
REWARI,1975,12.1,0,0,0,0,6,219.7,184.1,94.8,15.9,0,0,532.6,12.1,0,504.6,15.9
REWARI,1976,0,0,0.5,0,30.9,68.8,234.3,391.2,48.2,0,3.8,0,777.5,0,31.4,742.4,3.8
REWARI,1977,19.9,0.5,0,16.6,18.3,89,0,318,130.8,0,0,0,593.1,20.4,34.9,537.8,0
REWARI,1978,0,21.2,22.8,0,0,43.5,291.7,215.6,0,,0,0,,21.2,22.8,550.8,
REWARI,1979,15.1,37.8,,,,19.3,102.3,30.2,12.1,0.8,1.6,6,,52.9,,163.8,8.4
REWARI,1980,2.7,0.6,19.1,0,7.6,16.6,225.9,114.2,5.2,2.4,0.9,2.6,397.8,3.3,26.7,361.9,6
REWARI,1981,11.2,5.6,4.6,0,4.7,65.2,93.4,44.8,5.4,0,4.3,0,239.1,16.8,9.2,208.8,4.3
REWARI,1982,9,16.8,21.7,13.1,54,23.2,33.5,113.7,4.6,0,2.6,2.5,294.7,25.8,88.8,175.1,5
REWARI,1983,6.2,1.8,0.2,14.2,13.6,28.5,186.3,233.8,33.2,4.6,0,1.4,523.8,8,28.1,481.7,6
REWARI,1984,0.6,1.5,0,0,0,27.9,100.3,197.8,102.1,0,0,0,430.3,2.1,0,428.2,0
REWARI,1985,0.8,0,2.3,14.5,1.8,40,235.6,123.6,22.4,48.9,0,29,518.8,0.8,18.5,421.6,77.8
REWARI,1986,,,,,,28.5,57.5,,,,,53.6,,,,,
REWARI,1987,21,11,,96.8,,,,,,,,7,,32,,,
REWARI,1988,0,,29.1,19.3,15.2,140.5,183.8,148,159.9,0,0,0,,,63.6,632.3,0
REWARI,1989,,,,,,,,,,,,,,,,,
REWARI,1990,,,,,,,,,,11.1,6.6,16.8,,,,,34.4
REWARI,1991,0,13,0.6,1.3,6.6,13.3,46.9,187.4,0,0,3.8,0.8,273.8,13,8.6,247.7,4.5
REWARI,1992,23.9,8,0,0,1,4.2,153,154.8,70.8,15.6,19.3,0,450.6,31.9,1,382.8,34.9
REWARI,1993,3.5,13.8,2.5,8.1,8,43,269.6,73.8,107.9,0,0,0,530.1,17.2,18.6,494.3,0
REWARI,1994,23.2,0.5,0,8.3,18.8,79.2,362.8,93.8,29.7,0,0,0,616.2,23.7,27,565.4,0
REWARI,1995,31,15.3,6.8,8.8,3.8,20.6,95.8,515.4,262.3,0,0,1.5,961.4,46.3,19.5,894.1,1.5
REWARI,1996,5.9,14,4.4,0.5,2.4,181.1,151.8,348.3,197.6,3.3,0,0,909.2,20,7.2,878.7,3.3
REWARI,1997,5,5.2,4.5,15.5,58.9,70.3,150.1,240.2,43.4,63,8.7,37.7,702.5,10.2,78.8,504.1,109.4
REWARI,1998,0,21.1,21.5,2.6,1.2,76,163.3,245.5,91.2,27.2,8.9,0,658.4,21.1,25.3,576,36.1
REWARI,1999,5.7,1,0.3,0,29.3,40.2,154.9,101.8,80.1,21.5,0,0.5,435.3,6.7,29.6,377.1,22
REWARI,2000,5.6,10.5,1.2,0.6,25.8,29.6,145.3,36.7,19.3,0,0.5,0.2,275.2,16.1,27.6,230.8,0.7
REWARI,2001,9.6,11.8,7.2,29.4,82.2,143.9,180.1,86.6,2.2,29.5,0,0,582.6,21.4,118.8,412.9,29.5
REWARI,2002,28.8,22.5,1,0,86.4,25.5,24.2,49.7,33.5,0,0,13.8,285.3,51.3,87.4,132.8,13.8
REWARI,2003,28.4,29.2,0.8,0.2,13,28.3,265.7,195.5,70.9,0,0,8.8,641,57.6,14.1,560.5,8.8
REWARI,2004,11.7,0,0,15.8,28.3,34.7,5.2,196.2,66,23.5,0,0,381.3,11.7,44.1,302.1,23.5
REWARI,2005,2.7,49.8,13.5,0,23.5,87.7,264.7,45,160.4,0,0,0,647.3,52.5,37,557.7,0
REWARI,2006,0,0,51.3,0.5,14.7,37.3,207.8,28.8,37.2,5,2.8,3.5,389,0,66.5,311.2,11.3
REWARI,2007,1.5,64.5,48.2,1.3,15.8,74,62.5,93,114,0,0,0.2,475,66,65.3,343.5,0.2
REWARI,2008,0.2,0,2.2,7.3,89.8,155.4,223.3,147,196,0,0,0,821.2,0.2,99.3,721.7,0
REWARI,2009,1,0.2,3.9,2,9.5,30.5,92.1,82.4,118.2,0,4,0,343.7,1.2,15.4,323.1,4
REWARI,2010,0.3,9.2,0.5,0,3.5,12,240.1,235.6,153.2,0,28.3,5,687.7,9.5,4,640.9,33.3
